Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.debugger.pagepane.PagePane.RenderWorker-2.0.30,9,0.0,1,3
org.apache.pdfbox.debugger.streampane.OperatorMarker-2.0.30,1,0.0,1,3
org.apache.pdfbox.debugger.streampane.Stream-2.0.30,10,0.0,3,24
org.apache.pdfbox.debugger.streampane.StreamImageView-2.0.30,6,0.0,2,10
org.apache.pdfbox.debugger.streampane.StreamPane-2.0.30,11,0.0,2,18
org.apache.pdfbox.debugger.streampane.StreamPane.DocumentCreator-2.0.30,18,0.0,1,39
org.apache.pdfbox.debugger.streampane.StreamPaneView-2.0.30,5,0.0,1,4
org.apache.pdfbox.debugger.streampane.StreamTextView-2.0.30,4,0.0,3,11
org.apache.pdfbox.debugger.streampane.tooltip.ColorToolTip-2.0.30,6,0.0,4,6
org.apache.pdfbox.debugger.streampane.tooltip.FontToolTip-2.0.30,6,0.0,2,7
org.apache.pdfbox.debugger.streampane.tooltip.GToolTip-2.0.30,2,1.0,1,3
org.apache.pdfbox.debugger.streampane.tooltip.KToolTip-2.0.30,3,1.0,1,7
org.apache.pdfbox.debugger.streampane.tooltip.RGToolTip-2.0.30,2,1.0,1,3
org.apache.pdfbox.debugger.streampane.tooltip.SCNToolTip-2.0.30,6,1.0,1,5
org.apache.pdfbox.debugger.streampane.tooltip.ToolTipController-2.0.30,12,0.0,1,21
